Date,rf
2018-05-02,7.020856826581657e-05
2018-05-03,7.032552724530386e-05
2018-05-04,7.052044966857547e-05
2018-05-07,7.052044966857547e-05
2018-05-08,7.215742384216112e-05
2018-05-09,7.254707920211006e-05
2018-05-10,7.254707920211006e-05
2018-05-11,7.31314905111356e-05
2018-05-14,7.293669630432813e-05
2018-05-15,7.371581576561671e-05
2018-05-16,7.332627515632713e-05
2018-05-17,7.324836337438625e-05
2018-05-18,7.293669630432813e-05
2018-05-21,7.324836337438625e-05
2018-05-22,7.441689344320078e-05
2018-05-23,7.36379116315259e-05
2018-05-24,7.31314905111356e-05
2018-05-25,7.285877687303546e-05
2018-05-29,7.235225630482154e-05
2018-05-30,7.38326714208628e-05
2018-05-31,7.352105024084134e-05
2018-06-01,7.344314228301318e-05
2018-06-04,7.332627515632713e-05
2018-06-05,7.480632701274509e-05
2018-06-06,7.46895000262487e-05
2018-06-07,7.410531813970425e-05
2018-06-08,7.391057173159161e-05
2018-06-11,7.344314228301318e-05
2018-06-12,7.422216232576219e-05
2018-06-13,7.44947822860949e-05
2018-06-14,7.40274216519622e-05
2018-06-15,7.422216232576219e-05
2018-06-18,7.40274216519622e-05
2018-06-19,7.461161500521584e-05
2018-06-20,7.422216232576219e-05
2018-06-21,7.430005499089269e-05
2018-06-22,7.352105024084134e-05
2018-06-25,7.285877687303546e-05
2018-06-26,7.441689344320078e-05
2018-06-27,7.391057173159161e-05
2018-06-28,7.391057173159161e-05
2018-06-29,7.391057173159161e-05
2018-07-02,7.44947822860949e-05
2018-07-03,7.597439846621337e-05
2018-07-05,7.507890684516147e-05
2018-07-06,7.488420821229171e-05
2018-07-09,7.527359592579537e-05
2018-07-10,7.605225674471537e-05
2018-07-11,7.546827545513066e-05
2018-07-12,7.577974376591463e-05
2018-07-13,7.577974376591463e-05
2018-07-16,7.616904361858647e-05
2018-07-17,7.760912479893568e-05
2018-07-18,7.702537259507926e-05
2018-07-19,7.655830528330208e-05
2018-07-20,7.597439846621337e-05
2018-07-23,7.546827545513066e-05
2018-07-24,7.702537259507926e-05
2018-07-25,7.675292179751741e-05
2018-07-26,7.644153450539625e-05
2018-07-27,7.644153450539625e-05
2018-07-30,7.644153450539625e-05
2018-07-31,7.799824523296877e-05
2018-08-01,7.772586586338577e-05
2018-08-02,7.721996620465314e-05
2018-08-03,7.702537259507926e-05
2018-08-06,7.73367187180549e-05
2018-08-07,7.889307374387234e-05
2018-08-08,7.889307374387234e-05
2018-08-09,7.87763762877616e-05
2018-08-10,7.858185434991949e-05
2018-08-13,7.838732751423559e-05
2018-08-14,7.986549328895169e-05
2018-08-15,7.935986634813819e-05
2018-08-16,7.916538228548179e-05
2018-08-17,7.838732751423559e-05
2018-08-20,7.830951503746245e-05
2018-08-21,7.994327989740638e-05
2018-08-22,7.994327989740638e-05
2018-08-23,7.986549328895169e-05
2018-08-24,8.044883251103765e-05
2018-08-27,8.091543288523385e-05
2018-08-28,8.161524449457046e-05
2018-08-29,8.169298754362983e-05
2018-08-30,8.083767460126627e-05
2018-08-31,8.072102504779452e-05
2018-09-04,8.122647859328893e-05
2018-09-05,8.208170774641734e-05
2018-09-06,8.169298754362983e-05
2018-09-07,8.200397231257363e-05
2018-09-10,8.180960852951439e-05
2018-09-11,8.278131372858451e-05
2018-09-12,8.266472129657037e-05
2018-09-13,8.219831730913005e-05
2018-09-14,8.258698801665718e-05
2018-09-17,8.278131372858451e-05
2018-09-18,8.344193330188726e-05
2018-09-19,8.324763993865214e-05
2018-09-20,8.31699273415067e-05
2018-09-21,8.336421524527237e-05
